Distrito,Departamento,Nivel_Riesgo,Poblacion_Expuesta,Colegios_Riesgo,Latitud,Longitud
CUÑUMBUQUI,SAN MARTIN,A,4247,15,-6.417,-77.1044
LAMAS,SAN MARTIN,A,14476,31,-7.1719,-77.0189
PINTO RECODO,SAN MARTIN,MA,8086,44,-6.0886,-77.1517
RUMISAPA,SAN MARTIN,A,2582,7,-7.1979,-77.042
SAN ROQUE DE CUMBAZA,SAN MARTIN,MA,1635,11,-6.8841,-76.8143
SHANAO,SAN MARTIN,A,2666,7,-5.7297,-76.438
TABALOSOS,SAN MARTIN,MA,13879,35,-6.8973,-77.0099
ZAPATERO,SAN MARTIN,A,5173,16,-7.0954,-76.225
CALZADA,SAN MARTIN,A,4575,6,-6.6718,-77.0175
HABANA,SAN MARTIN,A,1704,4,-6.1855,-76.9038
JEPELACIO,SAN MARTIN,A,18449,60,-5.7516,-75.9221
MOYOBAMBA,SAN MARTIN,A,76325,187,-6.1011,-77.135
SORITOR,SAN MARTIN,A,22159,38,-7.1866,-77.0505
YANTALO,SAN MARTIN,A,3090,11,-6.6669,-75.6888
AWAJUN,SAN MARTIN,A,7282,31,-7.0084,-75.9213
ELIAS SOPLIN VARGAS,SAN MARTIN,A,14343,21,-6.9926,-77.1121
NUEVA CAJAMARCA,SAN MARTIN,A,43476,87,-6.3315,-77.0398
PARDO MIGUEL,SAN MARTIN,A,19349,60,-6.7774,-75.9984
RIOJA,SAN MARTIN,A,25413,44,-6.337,-77.0858
SAN FERNANDO,SAN MARTIN,A,4800,10,-5.8344,-76.993
YURACYACU,SAN MARTIN,A,5250,9,-6.2624,-76.8105
ALBERTO LEVEAU,SAN MARTIN,A,866,3,-6.9365,-76.4952
CACATACHI,SAN MARTIN,A,3293,7,-5.795,-75.5901
CHAZUTA,SAN MARTIN,MA,9497,29,-7.0051,-76.1287
CHIPURANA,SAN MARTIN,A,2001,8,-7.0602,-75.961
EL PORVENIR,SAN MARTIN,A,2152,10,-5.698,-76.8837
HUIMBAYOC,SAN MARTIN,MA,4975,22,-6.0387,-76.4908
JUAN GUERRA,SAN MARTIN,MA,3907,7,-5.7005,-77.126
LA BANDA DE SHILCAYO,SAN MARTIN,A,43481,42,-6.1668,-75.9964
MORALES,SAN MARTIN,A,24991,24,-6.3579,-76.2238
PAPAPLAYA,SAN MARTIN,A,2573,11,-6.3768,-76.5127
SAN ANTONIO,SAN MARTIN,A,1564,5,-7.1126,-75.7877
SAUCE,SAN MARTIN,MA,7263,13,-6.8576,-76.1627
SHAPAJA,SAN MARTIN,A,1805,4,-6.974,-75.6026
TARAPOTO,SAN MARTIN,A,69070,55,-6.0592,-75.9754
BOQUERON,UCAYALI,A,15797,63,-7.9942,-74.6534
ALEXANDER VON HUMBOLDT,UCAYALI,A,6204,18,-7.7554,-74.453
IRAZOLA,UCAYALI,A,10860,60,-8.031,-75.0567
PADRE ABAD,UCAYALI,A,29440,105,-8.3846,-75.1477
HUIPOCA,UCAYALI,A,8826,38,-9.1764,-74.5204
NESHUYA,UCAYALI,A,7848,22,-8.0267,-74.7937
